Corruption_Rank,Country,cpi
1,Denmark,90
1,Finland,90
1,New Zealand,90
4,Sweden,88
5,Singapore,87
6,Switzerland,86
7,Australia,85
7,Norway,85
9,Canada,84
9,Netherlands,84
11,Iceland,82
12,Luxembourg,80
13,Germany,79
14,Hong Kong,77
15,Barbados,76
16,Belgium,75
17,Japan,74
17,United Kingdom,74
19,United States,73
20,Chile,72
20,Uruguay,72
22,Bahamas,71
22,France,71
22,Saint Lucia,71
25,Austria,69
25,Ireland,69
27,Qatar,68
27,United Arab Emirates,68
29,Cyprus,66
30,Botswana,65
30,Spain,65
32,Estonia,64
33,Bhutan,63
33,Portugal,63
33,Puerto Rico,63
36,Saint Vincent and the Grenadines,62
37,Slovenia,61
37,Taiwan,61
39,Cape Verde,60
39,Israel,60
41,Dominica,58
41,Poland,58
43,Malta,57
43,Mauritius,57
45,Korea (South),56
46,Brunei,55
46,Hungary,55
48,Costa Rica,54
48,Lithuania,54
50,Rwanda,53
51,Georgia,52
51,Seychelles,52
53,Bahrain,51
54,Czech Republic,49
54,Latvia,49
54,Malaysia,49
54,Turkey,49
58,Cuba,48
58,Jordan,48
58,Namibia,48
61,Oman,47
62,Croatia,46
62,Slovakia,46
64,Ghana,45
64,Lesotho,45
66,Kuwait,44
66,Romania,44
66,Saudi Arabia,44
69,Brazil,43
69,Macedonia,43
69,South Africa,43
72,Bosnia and Herzegovina,42
72,Italy,42
72,Sao Tome and Principe,42
75,Bulgaria,41
75,Liberia,41
75,Montenegro,41
75,Tunisia,41
79,Sri Lanka,40
80,China,39
80,Serbia,39
80,Trinidad and Tobago,39
83,Burkina Faso,38
83,El Salvador,38
83,Jamaica,38
83,Panama,38
83,Peru,38
88,Malawi,37
88,Morocco,37
88,Suriname,37
88,Swaziland,37
88,Thailand,37
88,Zambia,37
94,Benin,36
94,Colombia,36
94,Djibouti,36
94,Greece,36
94,India,36
94,Moldova,36
94,Mongolia,36
94,Senegal,36
102,Argentina,35
102,Gabon,35
102,Tanzania,35
105,Algeria,34
105,Armenia,34
105,Bolivia,34
105,Gambia,34
105,Kosovo,34
105,Mali,34
105,Mexico,34
105,Philippines,34
113,Albania,33
113,Ethiopia,33
113,Guatemala,33
113,Niger,33
113,Timor-Leste,33
118,Dominican Republic,32
118,Ecuador,32
118,Egypt,32
118,Indonesia,32
118,Madagascar,32
123,Belarus,31
123,Mauritania,31
123,Mozambique,31
123,Sierra Leone,31
123,Vietnam,31
128,Lebanon,30
128,Togo,30
130,C»te d‚Ivoire,29
130,Nicaragua,29
130,Uganda,29
133,Comoros,28
133,Guyana,28
133,Honduras,28
133,Iran,28
133,Kazakhstan,28
133,Russia,28
139,Azerbaijan,27
139,Kenya,27
139,Nepal,27
139,Nigeria,27
139,Pakistan,27
144,Bangladesh,26
144,Cameroon,26
144,Central African Republic,26
144,Congo Republic,26
144,Syria,26
144,Ukraine,26
150,Eritrea,25
150,Guinea-Bissau,25
150,Papua New Guinea,25
150,Paraguay,25
154,Guinea,24
154,Kyrgyzstan,24
156,Yemen,23
157,Angola,22
157,Cambodia,22
157,Tajikistan,22
160,Democratic Republic of the Congo,21
160,Laos,21
160,Libya,21
163,Equatorial Guinea,20
163,Zimbabwe,20
165,Burundi,19
165,Chad,19
165,Haiti,19
165,Venezuela,19
169,Iraq,18
170,Turkmenistan,17
170,Uzbekistan,17
172,Myanmar,15
173,Sudan,13
174,Afghanistan,8
174,Korea (North),8
174,Somalia,8
