Period Ending,Country,CLDR Territory Code,Product,Reason,Court Orders,"Executive, Police, etc.",Items Requested To Be Removed
12/31/09,Brazil,BR,Blogger,,21,5,
12/31/09,Brazil,BR,orkut,,99,119,
12/31/09,Brazil,BR,Gmail,,4,0,
12/31/09,Brazil,BR,Web Search: Autocomplete,,0,1,
12/31/09,Brazil,BR,YouTube,,32,1,
12/31/09,Brazil,BR,Web Search,,9,0,
12/31/09,Canada,CA,Blogger,,0,1,
12/31/09,Canada,CA,YouTube,,0,12,
12/31/09,Canada,CA,Google Groups,,2,0,
12/31/09,Canada,CA,Web Search,,0,1,
12/31/09,Spain,ES,Blogger,,3,2,
12/31/09,Spain,ES,YouTube,,4,11,
12/31/09,Spain,ES,Web Search,,1,11,
12/31/09,South Korea,KR,Blogger,,0,1,
12/31/09,South Korea,KR,Google AdWords,,0,38,
12/31/09,South Korea,KR,"Google Earth, Google Maps, and Panoramio",,0,2,
12/31/09,South Korea,KR,Web Search: Related results,,0,1,
12/31/09,South Korea,KR,Street View,,0,2,
12/31/09,South Korea,KR,Google News,,0,1,
12/31/09,South Korea,KR,Web Search,,0,18,
12/31/09,South Korea,KR,Google Product Search,,0,1,
12/31/09,Italy,IT,Blogger,,7,1,
12/31/09,Italy,IT,Google Videos,,0,1,
12/31/09,Italy,IT,YouTube,,6,39,
12/31/09,Italy,IT,Google Groups,,1,0,
12/31/09,Italy,IT,Web Search,,2,0,
12/31/09,Argentina,AR,Google Images,,7,0,
12/31/09,Argentina,AR,Blogger,,3,1,
12/31/09,Argentina,AR,Web Search,,31,0,
12/31/09,United Kingdom,GB,Google Images,,1,1,
12/31/09,United Kingdom,GB,Blogger,,0,1,
12/31/09,United Kingdom,GB,Google AdWords,,0,1,
12/31/09,United Kingdom,GB,"Google Earth, Google Maps, and Panoramio",,0,1,
12/31/09,United Kingdom,GB,YouTube,,0,43,
12/31/09,United Kingdom,GB,Google Groups,,1,0,
12/31/09,United Kingdom,GB,Web Search,,8,2,
12/31/09,United States,US,Blogger,,6,6,
12/31/09,United States,US,Google Videos,,1,0,
12/31/09,United States,US,orkut,,0,1,
12/31/09,United States,US,Google Books,,0,1,
12/31/09,United States,US,Google AdWords,,2,1,
12/31/09,United States,US,Google Apps,,1,0,
12/31/09,United States,US,"Google Earth, Google Maps, and Panoramio",,0,1,
12/31/09,United States,US,Gmail,,1,0,
12/31/09,United States,US,YouTube,,7,63,
12/31/09,United States,US,Google Groups,,4,1,
12/31/09,United States,US,Web Search,,22,5,
12/31/09,India,IN,Blogger,,0,2,
12/31/09,India,IN,orkut,,0,119,
12/31/09,India,IN,Google Books,,1,0,
12/31/09,India,IN,"Google Earth, Google Maps, and Panoramio",,0,2,
12/31/09,India,IN,YouTube,,0,15,
12/31/09,India,IN,Google SMS Channels,,0,1,
12/31/09,India,IN,Web Search,,0,2,
12/31/09,Germany,DE,Google Images,,1,0,
12/31/09,Germany,DE,Blogger,,7,3,
12/31/09,Germany,DE,Google Videos,,0,2,
12/31/09,Germany,DE,Web Search: Autocomplete,,4,0,
12/31/09,Germany,DE,YouTube,,3,70,
12/31/09,Germany,DE,Web Search,,94,4,
12/31/09,Australia,AU,Blogger,,0,1,
12/31/09,Australia,AU,"Google Earth, Google Maps, and Panoramio",,0,1,
12/31/09,Australia,AU,YouTube,,0,14,
12/31/09,Australia,AU,Web Search,,0,1,
6/30/10,Brazil,BR,Blogger,,15,0,98
6/30/10,Brazil,BR,Google Videos,,1,0,1
6/30/10,Brazil,BR,orkut,,99,220,1045
6/30/10,Brazil,BR,Picasa Web Albums,,1,0,18318
6/30/10,Brazil,BR,"Google Earth, Google Maps, and Panoramio",,1,0,1
6/30/10,Brazil,BR,Gmail,,1,0,1
6/30/10,Brazil,BR,YouTube,,46,1,67
6/30/10,Brazil,BR,Web Search,,13,0,275
6/30/10,Turkey,TR,Picasa Web Albums,,1,0,75
6/30/10,Turkey,TR,Web Search,,4,0,6
6/30/10,Spain,ES,Blogger,,0,4,4
6/30/10,Spain,ES,YouTube,,12,4,18
6/30/10,Spain,ES,Google Groups,,0,1,1
6/30/10,Spain,ES,Web Search,,0,35,55
6/30/10,South Korea,KR,Textcube,,0,1,1
6/30/10,South Korea,KR,Google AdWords,,0,1,51
6/30/10,South Korea,KR,Web Search,,0,92,15497
6/30/10,Israel,IL,Web Search,,3,1,15
6/30/10,Austria,AT,Web Search,,2,0,143
6/30/10,Italy,IT,Blogger,,11,1,15
6/30/10,Italy,IT,YouTube,,19,37,1639
6/30/10,Italy,IT,Google Groups,,1,0,1
6/30/10,Argentina,AR,Google Images,,3,0,73
6/30/10,Argentina,AR,Blogger,,2,0,2
6/30/10,Argentina,AR,Web Search,,7,0,0
6/30/10,Taiwan,TW,Blogger,,0,2,2
6/30/10,Taiwan,TW,YouTube,,0,2,2
6/30/10,Taiwan,TW,Web Search,,0,7,8
6/30/10,United Kingdom,GB,Blogger,,1,0,1
6/30/10,United Kingdom,GB,Google Videos,,3,0,32
6/30/10,United Kingdom,GB,YouTube,,6,29,54
6/30/10,United Kingdom,GB,Google Groups,,1,0,1
6/30/10,United Kingdom,GB,Web Search,,8,0,144
6/30/10,United States,US,Blogger,,8,0,45
6/30/10,United States,US,Google Videos,,1,0,1
6/30/10,United States,US,Google AdWords,,1,0,1
6/30/10,United States,US,"Google Earth, Google Maps, and Panoramio",,2,0,2
6/30/10,United States,US,YouTube,,31,46,169
6/30/10,United States,US,Google Groups,,7,0,394
6/30/10,United States,US,Web Search,,30,2,66
6/30/10,Switzerland,CH,YouTube,,0,1,10
6/30/10,Switzerland,CH,Web Search,,4,0,23
6/30/10,Libya,LY,Google Videos,,0,2,17
6/30/10,Libya,LY,YouTube,,0,147,1160
6/30/10,France,FR,Blogger,,4,0,6
6/30/10,France,FR,Web Search: Autocomplete,,2,0,2
6/30/10,France,FR,YouTube,,2,11,14
6/30/10,France,FR,Web Search,,6,0,14
6/30/10,India,IN,Blogger,,2,3,9
6/30/10,India,IN,orkut,,2,3,5
6/30/10,India,IN,Google Books,,1,0,1
6/30/10,India,IN,YouTube,,1,11,97
6/30/10,India,IN,Web Search,,2,5,13
6/30/10,Germany,DE,Blogger,,8,0,11
6/30/10,Germany,DE,Google Videos,,1,0,2
6/30/10,Germany,DE,Google Books,,2,0,2
6/30/10,Germany,DE,Web Search: Autocomplete,,2,0,3
6/30/10,Germany,DE,YouTube,,17,46,295
6/30/10,Germany,DE,Web Search,,47,1,1094
6/30/10,Japan,JP,Web Search,,7,0,31
6/30/10,Australia,AU,"Google Earth, Google Maps, and Panoramio",,0,1,1
6/30/10,Australia,AU,Gmail,,0,1,1
6/30/10,Australia,AU,YouTube,,2,2,7
6/30/10,Australia,AU,Google Groups,,1,0,314
6/30/10,Australia,AU,Web Search,,7,0,316
12/31/10,Greece,GR,YouTube,Violence,0,1,1
12/31/10,Pakistan,PK,YouTube,Hate Speech,0,2,2
12/31/10,Brazil,BR,YouTube,Government Criticism,4,0,9
12/31/10,Brazil,BR,Picasa Web Albums,Copyright,3,0,11574
12/31/10,Brazil,BR,Blogger,Other,9,0,20
12/31/10,Brazil,BR,Google Images,Defamation,2,0,4
12/31/10,Brazil,BR,Picasa Web Albums,Privacy and Security,1,0,4
12/31/10,Brazil,BR,orkut,Copyright,1,0,13
12/31/10,Brazil,BR,YouTube,Impersonation,3,0,3
12/31/10,Brazil,BR,orkut,Hate Speech,0,2,3
12/31/10,Brazil,BR,Google AdWords,Privacy and Security,0,1,4
12/31/10,Brazil,BR,orkut,Electoral Law,1,0,2
12/31/10,Brazil,BR,YouTube,Defamation,27,1,190
12/31/10,Brazil,BR,YouTube,Privacy and Security,7,3,18
12/31/10,Brazil,BR,YouTube,Adult Content,1,0,1
12/31/10,Brazil,BR,Web Search,Other,1,0,1
12/31/10,Brazil,BR,orkut,Government Criticism,1,0,1
12/31/10,Brazil,BR,orkut,Impersonation,25,1,56
12/31/10,Brazil,BR,YouTube,Other,15,1,65
12/31/10,Brazil,BR,YouTube,Electoral Law,18,0,33
12/31/10,Brazil,BR,Blogger,Copyright,1,0,1
12/31/10,Brazil,BR,Web Search,Defamation,5,0,16
12/31/10,Brazil,BR,Blogger,Defamation,10,0,21
12/31/10,Brazil,BR,Blogger,Impersonation,1,0,1
12/31/10,Brazil,BR,Google Places,Impersonation,2,0,8
12/31/10,Brazil,BR,orkut,Defamation,8,108,315
12/31/10,Norway,NO,YouTube,Privacy and Security,0,1,3
12/31/10,Canada,CA,YouTube,Defamation,1,0,8
12/31/10,Canada,CA,Web Search,Defamation,3,0,12
12/31/10,Canada,CA,Blogger,Defamation,3,0,3
12/31/10,Turkey,TR,YouTube,Government Criticism,1,0,9
12/31/10,Turkey,TR,YouTube,Other,1,0,1
12/31/10,Turkey,TR,YouTube,Privacy and Security,1,0,5
12/31/10,Turkey,TR,Web Search,Defamation,3,0,4
12/31/10,Croatia,HR,Web Search,Defamation,0,1,1
12/31/10,Vietnam,VN,Web Search,Other,1,0,1
12/31/10,Singapore,SG,YouTube,Defamation,0,1,1
12/31/10,Spain,ES,Web Search,Privacy and Security,1,17,25
12/31/10,Spain,ES,YouTube,Other,2,0,19
12/31/10,Spain,ES,YouTube,Defamation,1,0,3
12/31/10,Spain,ES,Blogger,Other,1,0,1
12/31/10,Spain,ES,YouTube,Privacy and Security,1,1,8
12/31/10,Spain,ES,Blogger,Defamation,6,0,7
12/31/10,Spain,ES,Blogger,Privacy and Security,0,4,4
12/31/10,South Korea,KR,Android Market,Other,0,3,10
12/31/10,South Korea,KR,Web Search,Privacy and Security,0,127,32076
12/31/10,South Korea,KR,Google AdWords,Other,0,1,51
12/31/10,South Korea,KR,Textcube,Privacy and Security,1,0,1
12/31/10,South Korea,KR,YouTube,Privacy and Security,0,1,1
12/31/10,South Korea,KR,Web Search,Defamation,3,0,5
12/31/10,South Korea,KR,Blogger,Privacy and Security,3,0,8
12/31/10,Italy,IT,Google Videos,Defamation,1,0,1
12/31/10,Italy,IT,YouTube,Defamation,6,4,19
12/31/10,Italy,IT,YouTube,Privacy and Security,4,0,28
12/31/10,Italy,IT,Blogger,Adult Content,1,0,1
12/31/10,Italy,IT,YouTube,Adult Content,1,4,5
12/31/10,Italy,IT,YouTube,Violence,0,1,21
12/31/10,Italy,IT,YouTube,Other,1,8,14
12/31/10,Italy,IT,Gmail,Other,1,0,3
12/31/10,Italy,IT,YouTube,Hate Speech,0,1,1
12/31/10,Italy,IT,Blogger,Copyright,1,0,2
12/31/10,Italy,IT,Google Groups,Adult Content,1,0,1
12/31/10,Italy,IT,Web Search,Defamation,1,0,20
12/31/10,Italy,IT,Blogger,Defamation,13,0,15
12/31/10,Argentina,AR,Web Search,Defamation,18,0,70
12/31/10,Argentina,AR,Blogger,Defamation,2,1,3
12/31/10,Argentina,AR,Google Images,Privacy and Security,1,0,3
12/31/10,Taiwan,TW,Web Search,Other,0,1,1
12/31/10,Taiwan,TW,Web Search,Privacy and Security,0,1,1
12/31/10,Taiwan,TW,Web Search,Adult Content,0,1,1
12/31/10,Taiwan,TW,"Google Earth, Google Maps, and Panoramio",Other,0,1,1
12/31/10,Hong Kong,HK,YouTube,Other,0,1,4
12/31/10,Netherlands,NL,YouTube,Other,1,1,3
12/31/10,Netherlands,NL,YouTube,Hate Speech,0,2,2
12/31/10,United Kingdom,GB,Web Search,Privacy and Security,2,0,18
12/31/10,United Kingdom,GB,Blogger,Other,2,0,2
