video_id	uploader	age	category	length	views	rate	ratings	comments
9QR1tni70fo	BHJJYP	1131	Comedy	126	204	3	2	1
l1DCSqAJ740	musicalrox	1236	Music	243	1652	3.91	11	4
ZES_o3XYGjM	tessaceleste	1243	Entertainment	105	898	4.48	81	36
4I8b40cViDE	booloveswondergirls	1237	Entertainment	278	928	5	24	13
Elp6Bf0HJIM	Fizz101Productionz	1252	Comedy	26	392	1.5	8	17
VPuKu7aU9GY	slytherin66	1236	Entertainment	252	318	5	2	3
K3SmrkmdCbM	reallycoolgamer	1053	Comedy	162	749	3	6	6
ztharMK1gC8	improvcrazy925	1240	Entertainment	37	10	0	0	0
KgUXi9EBqiQ	cmmdotcom	1237	Music	166	115	2	1	0
mjU2QlfSvGo	kickanus	1187	Howto & Style	139	617	4.67	24	17
Gw8Yt0RCvec	laloze04	1233	Entertainment	361	37	5	1	1
2ehGmBxz_is	musicalrox	1236	Music	243	266	5	3	1
NlZe5xtq7do	SpeedUpVideos	1250	Comedy	167	4516	4.65	52	50
nbC771GARdA	SpeedUpVideos	1250	Comedy	234	2912	4.73	30	17
sJM2QNogihs	fletcherdilmore	1238	Travel & Events	361	2742	3.96	114	119
KFMj41TWkRY	lordyugi545454	1255	Comedy	127	8185	0	0	101
m7JadnMU23M	HappyTheHobo13	1257	Education	421	445	5	1	9
YwmtkgEG9ak	dark0hell	1257	Comedy	240	725	5	17	15
VhWXTplEMz0	slagbag313	1199	Entertainment	150	306	5	2	0
ljkS7xLLT30	joshpeckfan46	1258	Comedy	362	82	1	1	0
SjTskQgEmaE	leeasauras	1249	Music	48	57	5	1	3
xldW5Ajoq5A	thaosupafly	1028	Comedy	474	589	2	3	1
9saWRsw48Qo	whatsthebizz	1232	Entertainment	106	286	1	2	3
bRt4mqUbPV0	djsvideodiarys	1230	Comedy	523	627	4.7	10	10
z76hMSfYUd0	SynezN11	1249	Entertainment	422	66	0	0	0
Ijt6PPk1VN4	djsvideodiarys	1207	Comedy	196	3320	4.28	29	45
ZV977sf-lJ8	JCdjMadrid	1247	Music	89	1586	3.33	3	0
iCCydCeo1FE	djsvideodiarys	1190	Comedy	303	3989	4.77	35	31
9_x4Ioq5kp8	djsvideodiarys	1145	Comedy	260	3484	4.75	51	38
cqR-6LERU9g	cinziaspiteri	1144	Entertainment	243	38	0	0	0
KdkKHdY3fKc	MagicBollocks	1172	Comedy	16	90	0	0	0
IedbjDX8GgY	staplegun94	930	Howto & Style	116	8309	4.17	23	48
#NAME?	ifelixlife	635	People & Blogs	354	10823	4.75	16	8
7211nkszJSw	IndianaParanormal	1151	People & Blogs	191	57	0	0	0
48AN8KDBqus	djsvideodiarys	1244	Comedy	259	253	4.75	4	5
hKDtm4BTANM	SomeRandomKyle	1255	News & Politics	12	354	3.36	11	19
rUsIbSW4qx8	brawlman14365	1257	Comedy	57	21	0	0	1
Uzk_SGaJcEw	brawlman14365	1257	Comedy	40	13	0	0	0
yluEw2zIMqk	brettwurm	1255	Comedy	17	16	0	0	0
pBTfhkQWd7I	superpenguinblast6	1257	Comedy	31	21	0	0	0
btTHLCRDUJk	Blonnzoo	1252	Comedy	80	642	1.52	29	31
jxnTs4cpKQ4	brawlman14365	1257	Comedy	21	3	0	0	1
i9QMlzYGM2I	cartmansos3xy	1257	Comedy	19	44	0	0	2
F4zb49taTr0	iamurb	1243	Sports	243	145	3	2	2
Bi0XKp568JY	XxGamingMazterxX	1257	Comedy	13	781	2.11	53	59
cha8aUOf1DM	ItsiDawg	1251	Comedy	117	125	3.29	7	2
424SLwr49lE	winner0loser	1237	Entertainment	100	789	5	2	4
GS4V-QMWjdU	winner0loser	1232	Entertainment	37	511	0	0	0
CxWNwm99vXc	winner0loser	1229	Entertainment	34	589	3.67	3	1
m139hw0StpQ	winner0loser	1230	Entertainment	32	552	2.67	3	3
42MthKoZDXw	winner0loser	1254	Entertainment	84	36	0	0	0
iKTFfxdf7CI	winner0loser	1229	Entertainment	223	671	2.5	2	0
Q8b74itUaAM	sivervipa	1257	Education	41	54	5	1	1
tQvM--PK2A0	winner0loser	1251	Entertainment	56	31	0	0	0
KODIh0zCTuc	ItsTheRonShow	1251	Comedy	27	272	4	1	1
WUJ4dV_Jl7k	hadrien5	1251	Entertainment	13	591	3	2	1
32Ovrx-jg7k	SmoshOnSpeed	1250	Comedy	28	360	4.57	7	3
Q_W8axvhgtA	KleinerChaotBerlin	1252	Entertainment	164	247	5	1	0
kbdkWByAND8	jasiooo95	1252	Film & Animation	59	227	0	0	0
r3LlwpiUwXU	YouCantTakeOnAlex	1252	Entertainment	97	12	5	1	2
uDhT1xZb0es	evithebest18	1251	Entertainment	248	60	1	1	1
3FFM6fO1hy0	crappiestaccountever	1253	Entertainment	25	47	3.67	3	1
wArzsdORFsU	allregistrationsucks	1251	Comedy	49	17	0	0	0
_FzjPfIA6H8	SVRVideos	1251	Gaming	341	2325	4.65	43	31
rGPWcfTZs0Q	evithebest18	1251	Entertainment	230	80	1	1	0
KWIpKDzy_wk	mcbusch	1253	People & Blogs	137	18	0	0	0
Cm2wQgI4XLg	CraneEstate	1245	Entertainment	111	2782	5	24	14
3vPm3Xe25po	keivosh	845	Comedy	236	3606	2.7	43	10
3flRHh5RB-s	DrMmmPie	977	People & Blogs	63	63	5	1	1
McVwUuuEUaE	lucuslunderminelWoW	1252	Entertainment	458	173	2.8	5	8
aJCyRzNFBHA	gamefreak6251	1252	Entertainment	150	155	5	1	1
k3eS8M5YCnM	lingpanda101	1076	Entertainment	30	2006	5	12	8
xoIzmkLl5p0	batmancheesecake	968	Entertainment	84	3545	5	8	13
ydf-ehnyRLc	scificola	855	Entertainment	30	13380	4.81	16	70
flo0LrX0qUw	nephersekhmet	990	Entertainment	29	1522	5	5	0
60pK7PNuUeI	figment1988	1003	Science & Technology	30	1564	4.33	3	9
r-ijzCCbS7A	Klingonmastr	1258	Entertainment	186	50	5	6	0
K3mgk6-Lg08								
wSW1Ke3c6RU	marksmithwas12	1037	Film & Animation	171	4126	4.85	34	9
XCZG5-8EcHQ	solmurph420	1129	Autos & Vehicles	140	1036	4.58	12	4
xDExBe355as	SushieBoy	1018	Travel & Events	123	3037	4.67	27	32
4w4n8WGUb0k	SushieBoy	1008	Pets & Animals	71	1080	4.73	11	5
W5B84H4KEyE	DevilMaster	1118	Entertainment	238	3270	4.17	18	19
zk00MABZvb8	SwordmasterRalis	983	Entertainment	245	1808	4.76	17	10
XdJHncP_tjA	aby1982	920	Entertainment	421	3429	3.4	30	32
PweexZbzAhY	DigiHatesMakingNames	818	Entertainment	688	3025	5	11	9
kftfNQ1OcsE	StickMichael	847	Entertainment	296	2361	4.25	4	3
AXdupirPtZ4	tr0d	536	Entertainment	85	6660	4.89	19	14
