"ftobama","ftblack","ftwhite","fthisp","fthrc","ftsanders","race_white","gender","presjob","econnow","birthyr"
100,100,100,100,76,84,1,1,1,2,1960
39,6,74,6,52,13,1,2,3,4,1957
1,50,50,50,1,2,1,1,7,5,1963
89,61,64,61,69,71,1,1,2,2,1980
1,61,58,71,1,13,1,1,7,4,1974
0,50,51,51,1,11,1,1,7,4,1958
73,100,70,100,60,100,1,1,2,2,1978
0,70,70,69,0,40,1,1,7,3,1951
12,50,50,50,3,31,1,1,7,4,1973
87,75,90,51,87,97,1,1,2,2,1936
32,53,52,54,6,51,1,1,7,4,1978
10,80,80,80,10,10,1,2,7,3,1943
70,88,90,90,49,90,1,1,2,2,1936
80,67,74,57,3,41,1,2,7,5,1938
4,99,99,87,1,1,1,2,7,4,1956
0,74,63,65,0,10,0,1,7,4,1984
66,63,58,54,79,77,1,1,1,2,1981
100,80,81,80,79,100,1,2,2,3,1945
0,100,95,100,0,0,1,1,7,4,1961
96,92,94,92,87,81,1,2,2,2,1958
99,95,81,100,94,61,1,2,1,1,1950
12,71,71,45,2,90,1,1,6,5,1955
75,61,51,51,65,85,1,1,3,2,1954
91,84,87,91,68,89,1,2,1,3,1945
66,39,58,53,53,69,1,1,2,3,1978
39,79,80,86,50,38,1,1,5,4,1981
1,50,50,51,0,0,1,2,7,4,1949
70,56,88,90,41,100,1,2,3,3,1944
80,64,75,45,70,99,1,2,2,2,1955
100,58,56,55,85,83,1,2,1,2,1951
100,54,51,51,92,89,1,2,1,1,1994
63,88,62,77,21,98,1,1,3,4,1950
3,51,99,20,1,1,1,1,7,4,1953
1,50,53,52,0,4,1,2,7,3,1971
69,60,63,71,77,62,1,1,2,2,1967
82,70,85,66,93,96,1,1,2,2,1945
76,81,69,67,100,1,1,2,2,2,1948
80,80,81,74,52,71,1,1,2,2,1976
10,60,60,60,7,20,1,1,7,3,1955
0,71,67,66,9,6,1,2,7,5,1957
79,67,81,85,94,56,1,1,2,3,1953
81,100,100,100,94,84,1,2,2,2,1973
5,60,55,55,10,10,1,1,7,4,1944
