year_month,series1,series2
2006-01-01,2273,824
2006-02-01,2119,824
2006-03-01,1969,924
2006-04-01,1821,971
2006-05-01,1942,1019
2006-06-01,1802,1068
2006-07-01,1737,1072
2006-08-01,1650,1086
2006-09-01,1720,1031
2006-10-01,1491,1007
2006-11-01,1570,939
2006-12-01,1649,850
2007-01-01,1409,790
2007-02-01,1480,785
2007-03-01,1495,874
2007-04-01,1490,936
2007-05-01,1415,997
2007-06-01,1448,1050
2007-07-01,1354,1068
2007-08-01,1330,1096
2007-09-01,1183,1047
2007-10-01,1264,1043
2007-11-01,1197,949
2007-12-01,1037,843
2008-01-01,1084,780
2008-02-01,1103,779
2008-03-01,1005,834
2008-04-01,1013,891
2008-05-01,973,933
2008-06-01,1046,979
2008-07-01,923,1002
2008-08-01,844,1004
2008-09-01,820,973
2008-10-01,777,966
2008-11-01,652,861
2008-12-01,560,771
2009-01-01,490,673
2009-02-01,582,670
2009-03-01,505,720
2009-04-01,478,750
2009-05-01,540,767
2009-06-01,585,821
2009-07-01,594,839
2009-08-01,586,844
2009-09-01,585,820
2009-10-01,534,800
2009-11-01,588,715
2009-12-01,581,646
2010-01-01,614,554
2010-02-01,604,550
2010-03-01,636,610
2010-04-01,687,666
2010-05-01,583,689
2010-06-01,536,748
2010-07-01,546,739
2010-08-01,599,766
2010-09-01,594,758
2010-10-01,543,734
2010-11-01,545,673
2010-12-01,539,606
2011-01-01,630,510
2011-02-01,517,510
2011-03-01,600,571
2011-04-01,554,616
2011-05-01,561,654
2011-06-01,608,725
2011-07-01,623,723
2011-08-01,585,770
2011-09-01,650,759
2011-10-01,610,738
2011-11-01,711,682
2011-12-01,694,626
2012-01-01,723,566
2012-02-01,704,570
2012-03-01,695,618
2012-04-01,753,670
2012-05-01,708,722
2012-06-01,757,776
2012-07-01,740,783
2012-08-01,754,812
2012-09-01,847,794
2012-10-01,915,803
2012-11-01,833,731
2012-12-01,976,660
2013-01-01,888,588
2013-02-01,970,589
2013-03-01,999,642
2013-04-01,826,706
2013-05-01,920,758
2013-06-01,852,810
2013-07-01,891,843
2013-08-01,898,868
2013-09-01,860,858
2013-10-01,921,866
2013-11-01,1104,797
2013-12-01,1010,739
2014-01-01,902,674
2014-02-01,948,669
2014-03-01,973,739
2014-04-01,1038,807
2014-05-01,987,856
2014-06-01,928,907
2014-07-01,1085,926
2014-08-01,984,933
2014-09-01,999,932
2014-10-01,1094,949
2014-11-01,994,863
2014-12-01,1081,802
2015-01-01,1101,714
2015-02-01,893,712
2015-03-01,964,798
2015-04-01,1192,883
2015-05-01,1063,948
2015-06-01,1213,1027
2015-07-01,1147,1050
2015-08-01,1132,1069
2015-09-01,1189,1069
2015-10-01,1073,1038
2015-11-01,1171,949
2015-12-01,1160,869
2016-01-01,1128,786
2016-02-01,1213,799
2016-03-01,1113,890
2016-04-01,1155,930
2016-05-01,1135,980
,,
